DATE,JTUJOL
2014-01-01,4026
2014-02-01,4216
2014-03-01,4329
2014-04-01,5070
2014-05-01,4805
2014-06-01,4882
2014-07-01,5117
2014-08-01,5484
2014-09-01,4976
2014-10-01,5412
2014-11-01,4463
2014-12-01,4467
2015-01-01,5244
2015-02-01,5268
2015-03-01,5159
2015-04-01,6172
2015-05-01,5612
2015-06-01,5142
2015-07-01,6391
2015-08-01,5623
2015-09-01,5577
2015-10-01,6206
2015-11-01,5272
2015-12-01,5134
2016-01-01,5894
2016-02-01,5549
2016-03-01,6058
2016-04-01,6362
2016-05-01,5773
2016-06-01,5624
2016-07-01,6407
2016-08-01,5854
2016-09-01,5962
2016-10-01,5972
2016-11-01,5536
2016-12-01,5287
2017-01-01,5529
2017-02-01,5670
2017-03-01,5742
2017-04-01,6647
2017-05-01,5839
2017-06-01,6219
2017-07-01,6658
2017-08-01,6467
2017-09-01,6439
2017-10-01,6683
2017-11-01,5832
2017-12-01,5683
2018-01-01,6568
2018-02-01,6269
2018-03-01,6744
2018-04-01,7410
2018-05-01,7015
2018-06-01,7195
2018-07-01,7609
2018-08-01,7436
2018-09-01,7504
2018-10-01,7665
2018-11-01,7086
2018-12-01,6744
2019-01-01,7442
2019-02-01,6756
2019-03-01,7257
2019-04-01,7772
2019-05-01,7284
2019-06-01,7181
2019-07-01,7433
2019-08-01,7410
2019-09-01,7231
2019-10-01,7652
2019-11-01,6428
2019-12-01,6034
2020-01-01,7101
2020-02-01,6652
2020-03-01,5731
2020-04-01,5166
2020-05-01,5403
2020-06-01,5991
2020-07-01,7229
2020-08-01,6589
2020-09-01,6630
2020-10-01,7346
2020-11-01,6355
2020-12-01,6140
2021-01-01,7171
2021-02-01,7413
2021-03-01,8339
2021-04-01,9869
2021-05-01,9662
2021-06-01,10099
2021-07-01,11947
2021-08-01,11034
2021-09-01,10966
2021-10-01,12049
2021-11-01,10531
2021-12-01,10739
2022-01-01,11344
2022-02-01,11220
2022-03-01,11968
2022-04-01,12492
2022-05-01,11147
2022-06-01,10874
2022-07-01,12572
2022-08-01,10217
2022-09-01,10806
2022-10-01,11159
2022-11-01,10058
2022-12-01,10315
2023-01-01,10502
2023-02-01,9471
2023-03-01,9477
2023-04-01,10607
2023-05-01,9093
2023-06-01,8865
2023-07-01,9615
2023-08-01,9400
2023-09-01,9303
2023-10-01,9156
2023-11-01,8395
2023-12-01,8344
2024-01-01,8845
2024-02-01,8430
2024-03-01,8197
2024-04-01,8453
2024-05-01,7977
2024-06-01,7621
2024-07-01,8378
2024-08-01,7939
2024-09-01,7418
